category,question,option1,option2,option3,option4,correct_option
Технологии,Какой язык программирования используется для обработки данных и научных расчетов?,Python,Java,JavaScript,C++,Python
Технологии,Что такое алгоритм?,Пошаговая последовательность действий для выполнения задачи,Тип операционной системы,Программный язык,Сетевой протокол,Пошаговая последовательность действий для выполнения задачи
Технологии,Какой протокол используется для передачи данных в интернете?,TCP/IP,FTP,HTTP,SMTP,TCP/IP
Технологии,Что такое Wi-Fi?,Технология для беспроводной передачи данных,Тип кабеля,Тип сервера,Процессор,Технология для беспроводной передачи данных
Технологии,Какой язык программирования используется для разработки игр?,C++,Python,JavaScript,Java,C++
Технологии,Что такое масштабируемость в разработке программного обеспечения?,Способность системы справляться с увеличением нагрузки,Способность обновляться,Способность поддерживать старые версии,Способность работать на разных устройствах,Способность системы справляться с увеличением нагрузки
Технологии,Какой элемент компьютера отвечает за управление всеми другими устройствами?,Материнская плата,Оперативная память,Процессор,Жесткий диск,Материнская плата
Технологии,Что такое хостинг?,Услуга по размещению сайтов в интернете,Тип веб-браузера,Сетевой протокол,Тип операционной системы,Услуга по размещению сайтов в интернете
Технологии,Какой элемент программного обеспечения отвечает за взаимодействие пользователя с приложением?,Графический интерфейс,Процессор,Оперативная память,Жесткий диск,Графический интерфейс
Технологии,Что такое кибербезопасность?,Защита данных и систем от угроз и атак,Процесс разработки программного обеспечения,Процесс хранения данных,Процесс обмена данными,Защита данных и систем от угроз и атак
Технологии,Какой элемент компьютера используется для обработки и вывода изображений на экран?,Видеокарта,Процессор,Оперативная память,Жесткий диск,Видеокарта
Технологии,Что такое CMS?,Система управления контентом,Операционная система,Программный язык,Тип жесткого диска,Система управления контентом
Технологии,Какой язык программирования используется для создания мобильных приложений для Android?,Java,Swift,Python,C++,Java
Технологии,Что такое машинное обучение?,Процесс создания алгоритмов для автоматического обучения на данных,Процесс ручного программирования,Процесс хранения данных,Процесс обработки изображений,Процесс создания алгоритмов для автоматического обучения на данных
Технологии,Что такое фронтенд-разработка?,Разработка пользовательского интерфейса веб-приложений,Разработка серверной части приложения,Разработка базы данных,Разработка операционной системы,Разработка пользовательского интерфейса веб-приложений
Технологии,Что такое хостинг?,Услуга по предоставлению серверного пространства для сайтов,Тип браузера,Тип программного обеспечения,Тип жесткого диска,Услуга по предоставлению серверного пространства для сайтов
Музыка,Кто написал симфонию № 5?,Бетховен,Моцарт,Бах,Шопен
Музыка,Кто является автором композиции "Свадебный марш"?,Феликс Мендельсон,Людвиг ван Бетховен,Вольфганг Амадей Моцарт,Йоганн Себастьян Бах,Феликс Мендельсон
Музыка,Какой инструмент является основным в симфоническом оркестре?,Скрипка,Гитара,Флейта,Фортепиано,Скрипка
Музыка,Какой музыкальный стиль возник в США в 1950-х годах?,Рок-н-ролл,Блюз,Джаз,Классическая музыка,Рок-н-ролл
Музыка,Кто из этих композиторов написал "Лунную сонату"?,Людвиг ван Бетховен,Игорь Стравинский,Петр Ильи́ч Чайко́вский,Фредерик Шопен,Людвиг ван Бетховен
Музыка,Какой музыкальный жанр был популярен в 1980-х годах?,Поп,Рок,Хип-хоп,Диско,Диско
Музыка,Какой музыкальный инструмент имеет клавиши и струны?,Арпеджио,Фортепиано,Гармонь,Мандолина,Фортепиано
Музыка,Кто был основателем группы The Beatles?,Джон Леннон,Пол Маккартни,Джордж Харрисон,Ринго Старр,Джон Леннон
Музыка,Как называется музыкальный жанр, который включает в себя фортепиано и голос?,Классическая музыка,Поп,Блюз,Эстрада,Эстрада
Музыка,Какой музыкальный инструмент используется в рок-группах?,Гитара,Скрипка,Труба,Кларнет,Гитара
Музыка,Кто из композиторов известен своими балетами, такими как "Лебединое озеро"?,Петр Ильи́ч Чайко́вский,Людвиг ван Бетховен,Игорь Стравинский,Феликс Мендельсон,Петр Ильи́ч Чайко́вский
Музыка,Какая музыкальная форма состоит из нескольких частей и обычно исполняется оркестром?,Соната,Концерт,Симфония,Квартет,Симфония
Музыка,Какой стиль музыки был известен своими импровизациями и спонтанностью?,Джаз,Рок,Классическая музыка,Поп,Джаз
Музыка,Кто из этих исполнителей является известным певцом кантри?,Джонни Кэш,Боб Дилан,Майкл Джексон,Людмила Зыкина,Джонни Кэш
Музыка,Какой музыкальный инструмент имеет 88 клавиш?,Фортепиано,Гитара,Скрипка,Труба,Фортепиано
Музыка,Какая музыкальная эпоха предшествовала классической музыке?,Барокко,Романтизм,Импрессионизм,Модерн,Барокко
Музыка,Кто является автором оперы "Аида"?,Джузеппе Верди,Вольфганг Амадей Моцарт,Петр Ильи́ч Чайко́вский,Рихард Вагнер,Джузеппе Верди
Музыка,Какой стиль музыки возник в 1990-х годах и известен своими ритмичными и быстрыми темпами?,Техно,Поп,Рок,Хип-хоп,Техно
Музыка,Что такое ритм в музыке?,Сочетание длительности и силы звуков,Музыкальная гармония,Мелодическая линия,Тональность,Сочетание длительности и силы звуков
Музыка,Кто из исполнителей был известен как "Король поп-музыки"?,Майкл Джексон,Элвис Пресли,Принс,Джон Леннон,Майкл Джексон
Музыка,Как называется песня, которая исполняется на двух языках одновременно?,Билингвальная песня,Дуэт,Медли,Кросс-культурная песня,Билингвальная песня
Музыка,Какой стиль музыки использует много синтезаторов и электронной обработки звука?,Электроника,Рок,Джаз,Фолк,Электроника
Музыка,Кто является известным композитором и музыкантом, который написал музыку для фильма "Звездные войны"?,Джон Уильямс,Ханс Циммер,Эннио Морриконе,Джеймс Хорнер,Джон Уильямс
Музыка,Какой музыкальный инструмент используется для игры в оркестре и имеет длинный трубопровод?,Тромбон,Саксофон,Флейта,Труба,Тромбон
Музыка,Какой музыкальный жанр сочетает в себе элементы джаза и рока?,Фьюжн,Поп,Блюз,Классическая музыка,Фьюжн
Музыка,Какая музыкальная форма состоит из двух частей и обычно используется в песнях?,Куплет,Припев,Соната,Симфония,Куплет
Музыка,Кто написал оперу "Кармен"?,Жорж Бизе,Клод Дебюсси,Рихард Вагнер,Моцарт,Жорж Бизе
Музыка,Какой музыкальный инструмент является духовым и имеет губные язычки?,Кларнет,Саксофон,Гармонь,Труба,Гармонь
Музыка,Какой стиль музыки характеризуется использованием электронных звуков и ритмов?,Техно,Блюз,Классическая музыка,Фолк,Техно
Музыка,Что такое темп в музыке?,Скорость исполнения произведения,Сила звука,Мелодическая линия,Инструмент,Скорость исполнения произведения
Музыка,Какой музыкальный стиль был популярен в 70-х годах и характеризуется хоровыми вокалами?,Диско,Рок,Поп,Блюз,Диско
Музыка,Какая музыкальная эпоха пришла после Романтизма?,Импрессионизм,Классицизм,Барокко,Модерн,Импрессионизм
Музыка,Какой музыкальный инструмент имеет 6 струн и используется в рок-музыке?,Гитара,Арфа,Фортепиано,Скрипка,Гитара
Музыка,Кто написал "Вторую симфонию"?,Густав Малер,Людвиг ван Бетховен,Рихард Вагнер,Игорь Стравинский,Густав Малер
Музыка,Какой стиль музыки включает в себя элементы фолка и кантри?,Американа,Рок,Поп,Блюз,Американа
Музыка,Какой инструмент часто используется для игры в джазе и имеет медные трубы?,Труба,Саксофон,Тромбон,Кларнет,Труба
Музыка,Как называется мелодическая линия в музыке?,Мелодия,Ритм,Аккорд,Гармония,Мелодия
Музыка,Какая музыка была популярна в 60-е годы и включала в себя элементы рока и попа?,Битлз,Классика,Опера,Эстрада,Битлз
Музыка,Кто написал "Симфонию №9"?,Людвиг ван Бетховен,Йоганн Себастьян Бах,Игорь Стравинский,Рихард Вагнер,Людвиг ван Бетховен
Музыка,Какой музыкальный инструмент имеет педали и струны, и часто используется в классической музыке?,Фортепиано,Орган,Арфа,Гармонь,Фортепиано
Музыка,Кто является основателем группы Queen?,Фредди Меркьюри,Брайан Мэй,Роджер Тейлор,Джон Дикон,Фредди Меркьюри
Музыка,Что такое аккорд в музыке?,Сочетание нескольких звуков,Единичный звук,Музыкальная форма,Темп,Сочетание нескольких звуков
Музыка,Какой музыкальный инструмент используется для игры в оркестре и имеет струны?,Арфа,Гармонь,Труба,Флейта,Арфа
Музыка,Какой стиль музыки развился из блюза и имеет элементы рока?,Рок-н-ролл,Джаз,Фолк,Поп,Рок-н-ролл
Музыка,Какой музыкальный инструмент имеет 88 клавиш и является струнным?,Фортепиано,Арфа,Гитара,Скрипка,Фортепиано
Музыка,Какой музыкальный стиль сочетает в себе элементы джаза и соула?,Фанк,Рок,Поп,Эстрада,Фанк
Музыка,Кто написал музыку для фильма "Титаник"?,Джеймс Хорнер,Ханс Циммер,Джон Уильямс,Эннио Морриконе,Джеймс Хорнер
Музыка,Какой музыкальный инструмент используется для создания ритма и обычно состоит из двух палочек?,Барабаны,Труба,Гармонь,Флейта,Барабаны
Музыка,Какая музыкальная форма имеет три части и часто используется в танцевальной музыке?,Трек,Рондо,Куплет,Соната,Рондо
Музыка,Какой музыкальный инструмент имеет медные трубы и используется в военных оркестрах?,Трубка,Труба,Гармонь,Саксофон,Труба
Музыка,Какой музыкальный жанр известен своими ритмичными и быстрыми темпами и имеет элементы джаза?,Сви́нг,Рок-н-ролл,Блюз,Поп,Сви́нг
Музыка,Какой музыкальный стиль сочетает в себе элементы рока и панка?,Гранж,Хард-рок,Металл,Фолк,Гранж
